model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
GradientBoosting,1,0.6621621621621622,0.7933823529411765,0.8,0.8214285714285714,74,15
GradientBoosting,2,0.581081081081081,0.5727272727272728,0.6666666666666666,0.537037037037037,74,15
GradientBoosting,3,0.7123287671232876,0.7953488372093024,0.7333333333333333,0.7962962962962963,73,15
GradientBoosting,4,0.6857142857142857,0.7291666666666666,0.8571428571428571,0.7708333333333333,70,14
GradientBoosting,5,0.64,0.735,0.6,0.75,75,15
