model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
RandomForest,1,0.8378378378378378,0.9216911764705883,0.9333333333333333,0.9821428571428571,74,15
RandomForest,2,0.5540540540540541,0.5333333333333333,0.5333333333333333,0.5,74,15
RandomForest,3,0.6712328767123288,0.7193798449612404,0.6666666666666666,0.7222222222222222,73,15
RandomForest,4,0.7142857142857143,0.81125,0.7857142857142857,0.9583333333333334,70,14
RandomForest,5,0.6533333333333333,0.775,0.7333333333333333,0.8035714285714286,75,15
