model,seg_acc_mean,seg_acc_std,seg_auc_mean,seg_auc_std,speaker_acc_mean,speaker_acc_std,speaker_auc_mean,speaker_auc_std,n_segments_total,n_speakers_avg
LogReg,0.6582644170589377,0.0824919210611348,0.6724716453177465,0.1511365642844307,0.6771428571428572,0.1157838317366029,0.7364417989417988,0.1656755932549701,366,14.8
SVM_RBF,0.679982440366002,0.0940137808830015,0.7326393157685908,0.1246987767731985,0.7171428571428571,0.1261500384444907,0.7661375661375662,0.1722509708691667,366,14.8
RandomForest,0.6861487632446537,0.1031377860828448,0.7521308709530324,0.1429280919394473,0.7304761904761905,0.1476036858366428,0.7932539682539683,0.1962651637129635,366,14.8
GradientBoosting,0.6562572592161634,0.049905797569297,0.7251250259088836,0.090732259306253,0.7314285714285715,0.1024418423582846,0.7351190476190477,0.1139357554940527,366,14.8
