setting,model,seg_acc_mean,seg_acc_std,seg_auc_mean,seg_auc_std,speaker_acc_mean,speaker_acc_std,speaker_auc_mean,speaker_auc_std,n_segments_total,n_speakers_avg
with_age_gender,RandomForest,0.5857083333333334,0.09303169262855177,0.6328685515873016,0.10839728097272593,0.6016666666666667,0.16906092754454596,0.6916666666666667,0.14036629186942315,1560,15.6
acoustic_only,RandomForest,0.5798333333333333,0.08854073528921902,0.6046775793650794,0.09055608375609348,0.5900000000000001,0.11631643860129524,0.651984126984127,0.14709060132700605,1560,15.6
