model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
LogReg,1,0.6621621621621622,0.7845588235294118,0.7333333333333333,0.8392857142857142,74,15
LogReg,2,0.581081081081081,0.521969696969697,0.5333333333333333,0.5555555555555556,74,15
LogReg,3,0.6164383561643836,0.6286821705426358,0.6666666666666666,0.6666666666666667,73,15
LogReg,4,0.6142857142857143,0.5608333333333333,0.7142857142857143,0.6458333333333333,70,14
LogReg,5,0.7466666666666667,0.8292857142857143,0.8,0.8928571428571428,75,15
