model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
RandomForest,1,0.8918918918918919,0.9341911764705881,0.8666666666666667,1.0,74,15
RandomForest,2,0.5135135135135135,0.5579545454545454,0.5333333333333333,0.5648148148148149,74,15
RandomForest,3,0.6027397260273972,0.6980620155038759,0.6666666666666666,0.7222222222222222,73,15
RandomForest,4,0.6857142857142857,0.7716666666666666,0.7857142857142857,0.875,70,14
RandomForest,5,0.72,0.8078571428571428,0.7333333333333333,0.8392857142857143,75,15
