model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
GradientBoosting,1,0.7702702702702703,0.8522058823529411,0.7333333333333333,0.9285714285714286,74,15
GradientBoosting,2,0.581081081081081,0.5734848484848485,0.5333333333333333,0.6666666666666667,74,15
GradientBoosting,3,0.6712328767123288,0.6697674418604652,0.7333333333333333,0.7592592592592593,73,15
GradientBoosting,4,0.6428571428571429,0.665,0.7142857142857143,0.7916666666666666,70,14
GradientBoosting,5,0.6933333333333334,0.7757142857142858,0.6,0.8571428571428572,75,15
