model,seg_acc_mean,seg_acc_std,seg_auc_mean,seg_auc_std,speaker_acc_mean,speaker_acc_std,speaker_auc_mean,speaker_auc_std,n_segments_total,n_speakers_avg
LogReg,0.6441267960720015,0.0641708686574111,0.6650659477321584,0.1359332862312119,0.6895238095238095,0.0995682288661724,0.7200396825396825,0.1409749798664631,366,14.8
SVM_RBF,0.6689080940039844,0.0847561140677278,0.7210303592895932,0.1222245370926383,0.7038095238095238,0.1087133575247696,0.7662698412698413,0.1673408510897343,366,14.8
RandomForest,0.6827718834294176,0.1415797569737239,0.7539463093905637,0.138964408185797,0.7171428571428571,0.1261500384444907,0.8002645502645503,0.1647190573820813,366,14.8
GradientBoosting,0.6717549408508312,0.0693325343510219,0.7072344916825082,0.1081465273010448,0.6628571428571429,0.0912498252724074,0.8006613756613756,0.0991220982637652,366,14.8
