dataset,model,fold,seg_acc,seg_auc,speaker_acc,speaker_auc,n_segments,n_speakers
vowels,LogReg,1,0.5406758448060075,0.5850672818146867,0.6,0.6071428571428572,2397,15
vowels,LogReg,2,0.5388146911519198,0.5363216524854455,0.6,0.5892857142857142,2396,15
vowels,LogReg,3,0.6610978520286396,0.7288673519246545,0.5625,0.7936507936507937,2514,16
vowels,LogReg,4,0.5859188544152745,0.6251076420747241,0.625,0.6825396825396826,2514,16
vowels,LogReg,5,0.5806065442936952,0.5965488753589417,0.625,0.6190476190476191,2506,16
vowels,SVM_RBF,1,0.5465164789319983,0.5973615043165217,0.4666666666666667,0.6071428571428572,2397,15
vowels,SVM_RBF,2,0.5283806343906511,0.5235669502910882,0.5333333333333333,0.5178571428571428,2396,15
vowels,SVM_RBF,3,0.6424025457438345,0.7050429924568682,0.75,0.7936507936507937,2514,16
vowels,SVM_RBF,4,0.5803500397772474,0.649091962212506,0.6875,0.7619047619047619,2514,16
vowels,SVM_RBF,5,0.5925778132482044,0.619750880277152,0.75,0.6666666666666666,2506,16
vowels,RandomForest,1,0.4714226115978306,0.5156317500262138,0.5333333333333333,0.49999999999999994,2397,15
vowels,RandomForest,2,0.5792988313856428,0.586644578481863,0.6666666666666666,0.5892857142857142,2396,15
vowels,RandomForest,3,0.6340493237867939,0.663327149318659,0.75,0.6984126984126984,2514,16
vowels,RandomForest,4,0.5843277645186953,0.6255404529168439,0.625,0.5714285714285714,2514,16
vowels,RandomForest,5,0.6979249800478851,0.7522735122929479,0.8125,0.8888888888888888,2506,16
vowels,GradientBoosting,1,0.6103462661660409,0.639677047289504,0.5333333333333333,0.625,2397,15
vowels,GradientBoosting,2,0.7408180300500835,0.7721611901030003,0.6666666666666666,0.8035714285714286,2396,15
vowels,GradientBoosting,3,0.5727923627684964,0.5750800645255076,0.625,0.5714285714285714,2514,16
vowels,GradientBoosting,4,0.5306284805091488,0.5216107483174518,0.5625,0.5555555555555556,2514,16
vowels,GradientBoosting,5,0.7593774940143655,0.7501881705185773,0.8125,0.7777777777777778,2506,16
