dataset,model,seg_acc_mean,seg_acc_std,seg_auc_mean,seg_auc_std,speaker_acc_mean,speaker_acc_std,speaker_auc_mean,speaker_auc_std,n_segments_total,n_speakers_avg
phrases,GradientBoosting,0.5353749999999999,0.1451902786480172,0.5399890873015873,0.17579020549469718,0.5525,0.18670200558346686,0.5444444444444445,0.2095232458506127,1560,15.6
phrases,LogReg,0.6100416666666666,0.057985832500994004,0.6622361111111111,0.0602649460398241,0.6533333333333333,0.11746009960833508,0.7154761904761905,0.09415304518902905,1560,15.6
phrases,RandomForest,0.5915416666666667,0.08886846553568181,0.6356964285714286,0.10722870243069016,0.6016666666666667,0.16906092754454596,0.6904761904761905,0.13858384869519827,1560,15.6
phrases,SVM_RBF,0.5952916666666667,0.08430882178369922,0.6420997023809523,0.12078477107737315,0.615,0.10502149250933776,0.6837301587301587,0.1501369367385742,1560,15.6
