dataset,model,seg_acc_mean,seg_acc_std,seg_auc_mean,seg_auc_std,speaker_acc_mean,speaker_acc_std,speaker_auc_mean,speaker_auc_std,n_segments_total,n_speakers_avg
vowels,GradientBoosting,0.642792526701627,0.102145251898592,0.6517434441508082,0.10856931878237505,0.64,0.10963164334361786,0.6666666666666667,0.11644814055254653,12327,15.6
vowels,LogReg,0.5814227573391073,0.04961038195688379,0.6143825607316905,0.07157640339611904,0.6025,0.025617376914898977,0.6583333333333334,0.08340888487499219,12327,15.6
vowels,RandomForest,0.5934047022673695,0.0832728505608375,0.6286834886073056,0.08808024951173092,0.6775,0.10855746046321377,0.6496031746031745,0.15146831114769518,12327,15.6
vowels,SVM_RBF,0.578045502418387,0.044212572912871756,0.6189628579108273,0.0668677260276506,0.6375,0.13023749673406484,0.6694444444444445,0.11274311655288743,12327,15.6
